crater,sol imaged,diameter (m),depth qualifier,depth (m),morphology,morphologic class,estimated age,degradation rate (m/Myr),footnote
Gemini 5,2621,19,~,2,"Slightly elevated rim, blocky interior wall, blocks on rim and ejecta in rays planed off, ejecta in rays, ripples modify rim and ejecta",4,2-4,0.6,
Gemini 7,2627,12,,0.9,"Rimless, shallow depression, sandy interior, ripple forms part of rim, planned off blocks forms part of rim, no ejecta",6,10-20,0.1,
Gemini 9,2628,23,<,1,"Almost rimless shallow depression, planned off blocks form rim, sandy interior, ripples merge with part of rim",6,10-20,0.24,
Mariner 9,2663,25,,1,"Elevated rim, some planned off blocks in rim, sandy interior, no ejecta",4,2-4,1.3,
Mariner 9W,2661,10,~,0.5,"Shallow sandy depression with slightly elevated rim, ripples merge with rim",4,2-4,0.5,
Mariner 9S,2663,9,~,0.3,"Mostly sandy depression with slightly elevated rim, some planned off blocks along part of rim, no ejecta",4,2-4,0.5,
Mariner 10,2663,2,,0.1,"Blocky rim and ejecta that is weathered but not planed off, sandy interior",3,0.6-2,0.3,
Chikyu,2664,15,~,1,"Shallow rimless depression, mostly sandy, some planned off blocks along interior wall, no ejecta",5,4-10,0.29,
Spider,2668,5,<,0.1,"Shallow rimless depression in planned off outcrop, sandy interior, no ejecta",5,4-10,0.13,
Pathfinder,2670,39,,0.1,"Ripple filled shallow depression, large sand dune to SW, no ejecta",6,10-20,0.51,
